"t(s)","a(m/s²)"
7.859762958E0,-8.255632324E0
7.869732958E0,-8.034691772E0
7.879702958E0,-7.724387054E0
7.889672958E0,-7.522007904E0
7.899642958E0,-7.051985321E0
7.909611958E0,-6.665638733E0
7.919581958E0,-6.475683746E0
7.929551958E0,-6.508764954E0
7.939521958E0,-6.587800598E0
7.949491958E0,-6.659800873E0
7.959461958E0,-6.746021576E0
7.969431958E0,-6.833140411E0
7.979401958E0,-6.861281891E0
7.989371958E0,-6.765630798E0
7.999341958E0,-6.536457367E0
8.009311958E0,-6.305637360E0
8.019281958E0,-6.151907043E0
8.029250958E0,-5.870641937E0
8.039220958E0,-5.598208466E0
8.049190958E0,-5.400020599E0
8.059160958E0,-5.223088531E0
8.069130958E0,-5.137616272E0
8.079100958E0,-5.140310669E0
